name,year,age,sex,title,affiliation,location,area,bio,affil_short,title_short,area_short
Adrienne Rich,1994-06-15,65,Female,None Provided,None Provided,"Stanford, California","Poetry, Fiction and Nonfiction Writing","
                  
	About Adrienne's Work

	Adrienne Rich is a poet, an essayist, and a feminist theoretician.

	Her highly acclaimed poetry is characterized by lucidity, fluidity, and imaginative ambition.  Rich is one of the few American writers who has continued to hold public interest for decades because of her awareness of the changes in herself, in society, and in the ways in which language can reflect and shape these changes.  She is the author of numerous collections of poetry, including A Change of World (1951), The Diamond Cutters and Other Poems (1952), Snapshots of a Daughter-in-Law: Poems, 1954-1962 (1967), A Wild Patience Has Taken Me This Far: Poems, 1978-1981 (1981), Dark Fields of the Republic: Poems 1991-95 (1995), Midnight Salvage: Poems, 1995-1998 (1999), Fox: Poems, 1998-2000 (2001), and The School Among the Ruins: Poems 2000-2004 (2004).  She has also authored several works of prose, including What is Found There: Notebooks on Poetry and Politics (1993) and Arts of the Possible: Essays and Conversations (2001).

	Biography

	Rich has taught at the City College of New York (1968-71, 74-75), Brandeis University (1972-73), Rutgers University (1976-79), Cornell University (1981-87), Scripps College (1983-84), San Jose State University (1984-86), and Stanford University (1986-93).

	Rich received an A.B. (1951) from Radcliffe College and studied at the University of Oxford (1952-53). 

	Last updated January 1, 2005

              ",None Provided,None Provided,Poetry
Ahilan Arulanantham,2016-06-15,43,Male,Human Rights Lawyer,American Civil Liberties Union of Southern California,"Los Angeles, California","Human Rights and Human Security, Immigration","
                  
	About Ahilan's Work

	Ahilan Arulanantham is an attorney working to secure the right to due process for individuals facing deportation. Through advocacy and successful litigation of a series of landmark cases, Arulanantham has expanded immigrant detainees’ access to legal representation and limited the government’s power to detain them indefinitely. Courts have traditionally characterized deportation proceedings as civil cases, which means defendants do not have many of the rights guaranteed to criminal defendants, including the right to counsel and the right to ask for release on bond. As a result, immigrants going through deportation hearings often have to represent themselves in complex proceedings, during which they can be detained for months or even years.

	Arulanantham worked with a group of human rights attorneys to challenge indefinite detentions in Nadarajah v Gonzales (2006) and the class action suit Rodriguez v Robbins. The 2013 Rodriguez ruling by the U.S. Court of Appeals for the Ninth Circuit established that immigrants in pending removal proceedings have the right to ask for bond at a hearing if they have been detained for six months or longer. Hundreds of people in immigration proceedings, including asylum seekers and parents and spouses of U.S. citizens, were immediately given an opportunity to seek release to their families while waiting for their cases to be adjudicated. In 2016, the Supreme Court will consider whether to reverse the Rodriguez ruling or instead extend the right to ask for release on bond nationwide. For the class action suit Franco-Gonzalez v Holder, launched in 2010, Arulanantham led a coalition of attorneys and other advocates to secure the right to appointed counsel for immigrants with mental disabilities. The named plaintiff in the Franco-Gonzalez case had been languishing in detention for nearly five years without a bond hearing or an attorney. The 2013 ruling in the case was the first to entitle an entire class of non-citizens to legal representation.

	Arulanantham is currently advocating for extending the right to counsel to another vulnerable population—children placed in deportation proceedings—in J.E.F.M. v Lynch. Through his incremental approach and careful selection of cases, Arulanantham works to demonstrate the human costs of denying due process to immigrants and to set vital precedents to expand the rights of non-citizens.

	Biography

	Ahilan Arulanantham received B.A. degrees from Georgetown University (1994) and the University of Oxford, Lincoln College (1996) and a J.D. (1999) from the Yale Law School. He was an Equal Justice Works fellow (2000–2002) with the ACLU Immigrants’ Rights Project, an assistant federal public defender (2002–2004) in El Paso, Texas, and lecturer in the University of Chicago Law School (2010) and the University of California, Irvine, School of Law (2015). In 2004, he returned to the ACLU, where he is currently director of advocacy and legal director of the ACLU of Southern California and affiliated with the Immigrants’ Rights Project (since 2012).

              ",American Civil Liberties Union of Southern California,Human Rights Lawyer,Human Rights and Human Security
Ai-jen Poo,2014-06-15,40,Female,Labor Organizer,National Domestic Workers Alliance,"New York, New York",Civil Society and Community Organizing,"
                  
	About Ai-jen's Work

	Ai-jen Poo is a labor organizer whose compelling vision of the value of home-based care work is transforming the landscape of working conditions and labor standards for domestic or private-household workers. The estimated 1–2 million domestic workers—housekeepers, nannies, caregivers for the elderly or disabled—in the United States today are excluded from most federal and state labor laws, including collective bargaining; occupational safety and health protections; sick and vacation pay; and protection from discrimination and sexual harassment.

	Combining a deep understanding of the complex tangle of human relations around domestic work with keen strategic skills, Poo has created a vibrant, worker-led labor movement and spearheaded successful legislative campaigns at the national and international levels. As lead organizer of the New York City–based Domestic Workers United (2000–2009), she spent countless hours in parks, buses, and other gathering places for domestic workers, creating opportunities for these largely isolated women to share their experiences, guiding mistreated workers to appropriate legal channels, articulating the vital economic role of domestic workers, and developing with workers a framework of legal standards for the industry. In 2010, New York enacted the Domestic Workers’ Bill of Rights—which entitles workers to overtime pay, one day of rest per week, protection from discrimination, and three days paid leave per year—after a hard-fought seven-year legislative campaign led by Poo and a dedicated group of workers and advocates. The bill also drew support from an unlikely coalition of domestic workers, their employers, and other unions forged by Poo’s ability to leverage common interests across diverse groups.

	Several other states have passed or are currently considering similar legislation supported by the National Domestic Workers Alliance, and through mobilization of thousands of workers to tell their stories during the open comment period, Poo was instrumental in the Department of Labor’s recent decision to include caregivers for the elderly and disabled in federal minimum wage and overtime protections. Currently, she is developing the Caring Across Generations campaign, which unites (many immigrant) home care workers and elders needing long-term care around their confluence of interests, building support for immigration, health care, and labor policies that will both create good jobs and provide quality care for the aged. As the American workforce is increasingly defined by intermittent, service-based, and part-time work and the need for care workers explodes as baby boomers age, Poo is catalyzing a movement of respect and improved working conditions for millions of workers.

	Biography

	Ai-jen Poo received a B.A. (1996) from Columbia University and began her work in organizing in 1996 with the Women Workers Project at the Committee Against Anti-Asian Violence. She co-founded Domestic Workers United in 2000 and served as lead organizer until 2009, and she joined the National Domestic Workers Alliance as executive director in 2010. She is also co-director of Caring Across Generations.

              ",National Domestic Workers Alliance,Labor Organizer,Civil Society and Community Organizing
Alan Walker,1988-06-15,50,Male,None Provided,None Provided,"Baltimore, Maryland","Paleontology, Biological Anthropology, Biological Anthropology","
                  
	About Alan's Work

	Alan Walker is a paleontologist working on the earliest stages of human evolution in the Miocene, Pliocene, and Pleistocene epochs.

	He endeavors to extract ancient behaviors from fossil records, concentrating mainly on records from East Africa.  His discoveries include hundreds of fossils of the Miocene ape, Proconsul, a largely complete skeleton of a Homo erectus youth, and the skull of an early, robust Australopithecus.  He has brought new techniques such as stereoscopic measuring and electron microscopy to bear on the analysis of fossil finds.  Walker was also largely responsible for the formation of the functional morphology-paleontology group at The Johns Hopkins University.  He is the co-author of The Ape in the Tree: The Natural and Intellectual History of Proconsul (2005) and co-editor of The Nariokotome Homo erectus Skeleton (1993).

	Biography

	Walker is the Evan Pugh Professor of Biological Anthropology and Biology at Pennsylvania State University and a research associate at the National Museum of Kenya.  His numerous articles have appeared in such publications as the Journal of Human Evolution and Nature.

	Walker received a B.A. (1962) from the University of Cambridge and a Ph.D. (1967) from the University of London.

	Recent News

	Alan Walker is Evan Pugh Professor Emeritus of Anthropology and Biology at Pennsylvania State University. He was elected a fellow of the Royal Society in 1999 and a foreign associate of the National Academy of Sciences in 2003.

	Updated July 2015

              ",None Provided,None Provided,Paleontology
Alar Toomre,1984-06-15,47,Male,None Provided,None Provided,"Cambridge, Massachusetts","Astrophysics and Astronomy, Mathematics, Statistics, and Probability","
                  
	About Alar's Work

	Alar Toomre combines insights in applied mathematics with research in astronomy, particularly on the dynamics of galaxies.

	He is best known for his explanations and computer simulations of the bridges, tails, and occasional ring-like shapes of interacting galaxies and of mergers giving rise to elliptical galaxies.  His dynamical studies have enhanced our understanding of the basic causes of spiral structures.  Toomre was also among the first astronomers to suggest that debris stirred up from galaxy interactions could provide fuel for black holes.

	Biography

	Toomre is a professor in the Department of Mathematics at the Massachusetts Institute of Technology.  He joined the MIT faculty in 1963 as an assistant professor, was promoted to associate professor in 1965, and became a professor in 1970.  His numerous articles have appeared in such publications as the Astrophysical Journal, the Journal of Geophysical Research, and the Annual Review of Astronomy and Astrophysics.

	Toomre emigrated to the United States in 1949.  He received a B.S. (1957) from the Massachusetts Institute of Technology and a Ph.D. (1960) from the University of Manchester, England.

	Last updated January 1, 2005.

              ",None Provided,None Provided,Astrophysics and Astronomy
Albert J. Libchaber,1986-06-15,52,Male,None Provided,None Provided,"Chicago, Illinois",Physics,"
                  
	About Albert's Work

	Albert Libchaber is an experimental physicist who studies the implications of nonlinear dynamics on the physical world, including the biological sciences.

	Libchaber has centered his research on the problem of pattern formation and stability, and on the evolution of fluids from laminar states to chaotic and turbulent ones.  His early work focused on various aspects of low-temperature physics.  He now works on aspects of cell biology related to artificial life, the origin of life, and various physical aspects of cell biology, including the growth, form, and motion of the cell cytoskeleton.

	Biography

	Libchaber is the Detlev W. Bronk University Professor at the Center for Studies in Physics and Biology at Rockefeller University.  He is a member of the Centre National de la Recherche Scientifique, Paris, France, and formerly held faculty appointments at Princeton University and the University of Chicago.  His numerous articles have appeared in such journals as the Proceedings of the National Academy of Sciences USA and the Biophysical Journal.

	Libchaber received a B.S. (1956) from the University of Paris, an M.S. from the University of Illinois at Urbana-Champaign, and a Ph.D. (1965) from the École Normale Supérieure, Paris.

	Last updated January 1, 2005.

              ",None Provided,None Provided,Physics
Aleksandar Hemon,2004-06-15,40,Male,None Provided,None Provided,"Chicago, Illinois",Fiction and Nonfiction Writing,"
                  
	About Aleksandar's Work

	Aleksandar Hemon is an author whose fiction grapples with the traumas of exile and ethnic conflict. Hemon’s Nowhere Man (2002), a novel-in-stories, follows the circuitous path of a young Bosnian refugee with an appropriately circuitous narrative form; the work’s seven sections shift back and forth between first-person narrators and move freely in setting from Chicago to Sarajevo to Kiev to Shanghai. Through this interspersing of multiple voices, locales, and time periods, Hemon creates an expansive fictional universe, one in which disparate events and memories are salvaged from the sweep of history and presented with humor and compassion. In similar experimental fashion, the stories collected in The Question of Bruno (2000) take such varied forms as a series of undelivered letters and a child’s spy fantasy footnoted with “facts” from The Greatest Spies of World War II. Using his adopted language, English, Hemon dramatizes with wit and dexterity the cultural displacement that he and his characters have endured. His voice invigorates American literature and succeeds in conveying moving stories from the otherwise incommunicable experience of war.

	Biography

	Aleksandar Hemon received a B.A. (1990) from the University of Sarajevo and an M.A. (1995) from Northwestern University. Born in Sarajevo, Bosnia and Herzegovina, Hemon traveled to the United States in 1992 as a young journalist on a government-sponsored cultural visa. Unable to return due to the violent unrest of the Bosnian War (1992–1995), he settled as a refugee in Chicago. He is the author of two books and numerous works of short fiction that have been published in Esquire, Granta, Ploughshares, and The New Yorker.

              ",None Provided,None Provided,Fiction and Nonfiction Writing
Alex Ross,2008-06-15,40,Male,Music Critic,The New Yorker,"New York, New York",Musicology and Ethnomusicology,"
                  
	About Alex's Work

	Alex Ross is a critic whose writing captures the often-elusive aesthetic and technical aspects of classical and contemporary music with clarity, grace, and wit. A staff writer for the New Yorker, his frequent essays display an expansive knowledge of music and a facility for guiding his readers, who range from professional musicians to scholars to the general public alike, to a richer experience of the complex pieces and artists he explores. With a finely tuned grasp of a full spectrum of styles, he places works by a broad variety of artists — from Mozart to Schoenberg to Bob Dylan — within a continuum and sets aside categories and classifications that impede the appreciation of works on their own terms. In each article, Ross strives to demonstrate how a specific piece of music, be it centuries or months old, conveys meaning and feeling in the present. In addition to his work in essay form, he recently published the book The Rest Is Noise (2007), a cultural history of 20th-century music that journeys through pre-World War I Vienna, Paris of the 1920s, Hitler’s Germany, Stalin’s Russia, and New York of the 1960s and 1970s. Through a widely read blog of the same title (www.therestisnoise.com), he further expands the reach of his interpretive skills and enthusiasm for championing overlooked composers and out-of-the-way ensembles. In an era when many proclaim the imminent demise of concert halls due to waning attendance, Ross offers both highly specialized and casual readers new ways of thinking about the music of the past and its place in our future.

	Biography

	Alex Ross received a B.A. (1990) from Harvard University. He has been the music critic for the New Yorker since 1996 and served previously as a music critic for the New York Times (1992-1996). His writing has also appeared in the New Republic, Slate, Lingua Franca, and the London Review of Books.

              ",The New Yorker,Music Critic,Musicology and Ethnomusicology
Alex Truesdell,2015-06-15,59,Female,Adaptive Designer and Fabricator,"Adaptive Design Association, Inc.","New York, New York",Persons with Disabilities,"
                  
	About Alex's Work

	Alex Truesdell is a visionary social entrepreneur who creates low-tech, affordable tools and furniture that enable children with disabilities to participate actively in their homes, schools, and communities. Truesdell challenges our assumption that disabilities are fixed and instead suggests that limitations can be minimized, or even eliminated, with effective user-inspired adaptations—the kind she creates as founder and director of the nonprofit Adaptive Design Association (ADA).

	Most devices that help children with special needs are expensive and mass-produced and must be replaced as a child ages. Each item built by ADA, in contrast, is the result of extensive collaboration with a child and family in order to optimize how the user will function at home or school. Truesdell’s innovative construction processes use common and affordable materials, such as corrugated cardboard and glue, to allow designers to prototype, build, and fit equipment on-site quickly and inexpensively. The result is unique, imaginative, and thoroughly useful products. Examples include steps (customized with superhero designs) that allow a young boy to climb in and out of his wheelchair without assistance, a seat insert that makes a standard classroom desk accessible for a little person, and a rocking chair that a non-walking child can propel and that can be combined with a detachable tray for eating or play.

	Driven by a determination to help children anywhere, she disseminates adaptive design methods through in-person classes, internships, how-to videos, and forthcoming online workshops. She has reached families, clinicians, and educators across the United States and as far away as India, Guatemala, and Ecuador. Truesdell’s innovative approach to designing and building low-cost, high-quality adaptive equipment is improving the lives of thousands of children and disrupting traditional approaches to assistive technologies.

	Biography

	Alex Truesdell received a B.S. (1979) and M.Ed. (1998) from Lesley University and an M.Ed. (1982) from Boston College. She was affiliated (1981–1998) with the Perkins School for the Blind, where she was founder and coordinator of the Assistive Device Center, prior to founding Adaptive Design Association, Inc., in 2001.

              ","Adaptive Design Association, Inc.",Adaptive Designer and Fabricator,Persons with Disabilities
Alexander George,1983-06-15,63,Male,None Provided,None Provided,"Stanford, California",Political Science,"
                  
	About Alexander's Work

	Alexander George was a political scientist who specialized in international relations and political decision-making.

	George distinguished himself in the study of the relationship between diplomacy and military power, and in the examination of the psychological and historical dimensions of American international involvement.  He was co-author of Woodrow Wilson and Colonel House: A Personality Study (1956), Deterrence in American Foreign Policy: Theory and Practice (1974), Force and Statecraft: Diplomatic Problems of Our Time (1982 and 1995), Presidential Personality and Performance (1998), and Case Studies and Theory Development in the Social Sciences (2004).  He was the author of a number of studies, including Presidential Decision Making in Foreign Policy: The Effective Use of Information and Advice (1980), Managing the U.S.-Soviet Rivalry: Problems of Crisis Prevention (1982), Avoiding War: Problems of Crisis Management (1991), Forceful Persuasion: Coercive Diplomacy As an Alternative to War (1992), and Bridging the Gap: Theory and Practice in Foreign Policy (1993).

	Biography

	George was the Graham H. Stuart Professor Emeritus in International Relations in the Department of Political Science at Stanford University. 

	George pursued undergraduate studies and received an M.A. (1941) and a Ph.D. (1958) from the University of Chicago. 

	Last updated January 1, 2005.

              ",None Provided,None Provided,Political Science
Alexei Kitaev,2008-06-15,45,Male,Physicist / Computer Scientist,"Departments of Physics and Computer Science, California Institute of Technology","Pasadena, California","Physics, Computer Science and Electrical Engineering, Mathematics, Statistics, and Probability","
                  
	About Alexei's Work

	Alexei Kitaev is a physicist who explores the mysterious behavior of quantum systems and their implications for developing practical applications, such as quantum computers. Since his days as an undergraduate, he has made important theoretical contributions to a wide array of topics within condensed matter physics, including quasicrystals and quantum chaos, among others. More recently, Kitaev has devoted considerable attention to the use of quantum physics for performing computation. Upon learning of the first algorithm for factoring numbers (an important aspect of cryptography) with quantum computers, he independently developed an alternative approach using “phase estimation,” a solution that generalizes to an even wider range of calculations. At the quantum level, physical interactions often display bizarre, counterintuitive properties that are generally unobservable at the macroscopic level. Kitaev has shown how, under certain circumstances, macroscopic systems can maintain their quantum coherence, even in the presence of external noise. Though his work is focused mainly at the conceptual level, he also participates in efforts to develop working quantum computers. Through his deep insights into the fundamental nature of quantum physics, Kitaev reveals a rich picture of this unfamiliar world, bringing us closer to the realization of the full potential of quantum computing.

	Biography

	Alexei Kitaev received an M.S. (1986) from the Moscow Institute of Physics and Technology and a Ph.D. (1989) from the L.D. Landau Institute of Theoretical Physics in Chernogolovka, Russia. He is a professor of theoretical physics and computer science at the California Institute of Technology. Kitaev served previously as a researcher (1999-2001) at Microsoft Research and as a research associate (1989-1998) at the Landau Institute.

              ","Departments of Physics and Computer Science, California Institute of Technology",Physicist / Computer Scientist,Physics
Alexei Ratmansky,2013-06-15,45,Male,Choreographer,American Ballet Theatre,"New York, New York",Choreography and Dance,"
                  
	About Alexei's Work

	Alexei Ratmansky is a choreographer who is revitalizing classical ballet in dynamic, energetic interpretations of traditional works and his own original pieces. Born in St. Petersburg, trained at the Bolshoi Ballet School in Moscow, and currently serving as artist in residence with New York City’s American Ballet Theater, Ratmansky is steeped in the tradition of classical ballet but also inflects the canonical steps of Russia and the West with a technical idiom all his own, one that pushes dancers in new directions through a supple use of the upper body and daring, athletic partnering for both men and women.

	Drawn to seminal, complex scores by Russian composers such as Stravinsky, Prokofiev, and Shostakovich, Ratmansky mines both his expansive knowledge of classical ballet’s history and the rhythms, harmonies, and orchestrations of the music to create powerful story-driven pieces. For stagings of well-known classics such as The Nutcracker and The Firebird, Ratmansky reimagines each character, adding personal qualities and quirks that bring the role to life in a fresh way and reveal nuances and shadings of the piece that infuse it with a modern sensibility.

	Ratmansky’s masterful use of gesture in his Concerto DSCH (2008), set to the music of Shostakovich’s Concerto No. 2 in F Major, Op. 102, creates a self-contained world in which relationships of love, camaraderie, and jealousy are made manifest. He continues his investigation of Shostakovich and reflection on the tormented idealism of artists living in Stalinist Russia in his recent trilogy of dances (2012–2013) choreographed to works from various stages of Shostakovich’s career. As Ratmansky re-envisions the classical repertoire and creates his own striking contemporary works, he is moving the field of ballet in new directions while honoring the accomplishments of the past.

	Biography

	Alexei Ratmansky studied at the Bolshoi Ballet School (1978–1986) and at the State Institute of Theater Arts (GITIS) (1988–1992). He was artistic director of the Bolshoi Ballet (2004–2009) prior to joining the American Ballet Theatre as artist in residence in 2009. He has choreographed works for the Mariinsky Ballet, Paris Opera Ballet, Bolshoi Ballet, New York City Ballet, Royal Ballet, Royal Danish Ballet, and American Ballet Theater, among other companies.

              ",American Ballet Theatre,Choreographer,Choreography and Dance
